basecalled,polished config,draft QV,polished QV,QV shift
R9G4FAST,R9G4FAST,20.921,28.488,7.567
R9G4FAST,R9G4HAC,20.921,27.113,6.192
R9G4FAST,R9G6FAST,20.921,27.409,6.4879999999999995
R9G4FAST,R9G6HAC,20.921,26.364,5.443000000000001
R9G4FAST,R9G6SUP,20.921,26.399,5.4780000000000015
R9G4FAST,R10D0HAC,20.921,21.993,1.0719999999999992
R9G4FAST,R10D0SUP,20.921,23.058,2.1370000000000005
R9G4HAC,R9G4FAST,26.155,28.687,2.532
R9G4HAC,R9G4HAC,26.155,33.958,7.802999999999997
R9G4HAC,R9G6FAST,26.155,33.136,6.981000000000002
R9G4HAC,R9G6HAC,26.155,33.335,7.18
R9G4HAC,R9G6SUP,26.155,33.874,7.719000000000001
R9G4HAC,R10D0HAC,26.155,29.327,3.1720000000000006
R9G4HAC,R10D0SUP,26.155,30.586,4.430999999999997
R9G6FAST,R9G4FAST,23.401,29.701,6.300000000000001
R9G6FAST,R9G4HAC,23.401,31.201,7.800000000000001
R9G6FAST,R9G6FAST,23.401,31.276,7.875
R9G6FAST,R9G6HAC,23.401,30.403,7.001999999999999
R9G6FAST,R9G6SUP,23.401,30.709,7.308
R9G6FAST,R10D0HAC,23.401,25.305,1.904
R9G6FAST,R10D0SUP,23.401,26.579,3.178000000000001
R9G6HAC,R9G4FAST,28.352,27.331,-1.0210000000000008
R9G6HAC,R9G4HAC,28.352,33.935,5.583000000000002
R9G6HAC,R9G6FAST,28.352,32.696,4.343999999999998
R9G6HAC,R9G6HAC,28.352,34.885,6.532999999999998
R9G6HAC,R9G6SUP,28.352,34.902,6.550000000000001
R9G6HAC,R10D0HAC,28.352,32.688,4.336000000000002
R9G6HAC,R10D0SUP,28.352,33.587,5.235000000000003
R9G6SUP,R9G4FAST,29.45,27.324,-2.1259999999999977
R9G6SUP,R9G4HAC,29.45,34.592,5.1419999999999995
R9G6SUP,R9G6FAST,29.45,33.111,3.660999999999998
R9G6SUP,R9G6HAC,29.45,35.572,6.122000000000003
R9G6SUP,R9G6SUP,29.45,35.602,6.1519999999999975
R9G6SUP,R10D0HAC,29.45,34.106,4.656000000000002
R9G6SUP,R10D0SUP,29.45,34.742,5.291999999999998
R10D0HAC,R9G4FAST,35.739,27.399,-8.339999999999996
R10D0HAC,R9G4HAC,35.739,35.651,-0.08799999999999386
R10D0HAC,R9G6FAST,35.739,31.728,-4.010999999999996
R10D0HAC,R9G6HAC,35.739,37.517,1.7780000000000058
R10D0HAC,R9G6SUP,35.739,37.314,1.5750000000000028
R10D0HAC,R10D0HAC,35.739,38.238,2.4990000000000023
R10D0HAC,R10D0SUP,35.739,38.315,2.5760000000000005
R10D0SUP,R9G4FAST,37.561,28.224,-9.337
R10D0SUP,R9G4HAC,37.561,36.231,-1.3299999999999983
R10D0SUP,R9G6FAST,37.561,32.034,-5.527000000000001
R10D0SUP,R9G6HAC,37.561,38.0,0.43900000000000006
R10D0SUP,R9G6SUP,37.561,37.626,0.06499999999999773
R10D0SUP,R10D0HAC,37.561,38.765,1.2040000000000006
R10D0SUP,R10D0SUP,37.561,38.805,1.2439999999999998
